iter	RMSE
0	110918.2913
1	110912.2463
2	110710.4117
3	110672.3307
4	110462.681
5	110443.3236
6	110340.3614
7	110335.4361
8	109682.8519
9	109504.3607
10	109380.3421
11	109298.1387
12	109128.7785
13	108775.6782
14	108487.3156
15	108473.8877
16	108405.1353
17	108360.3596
18	107545.3825
19	107478.657
20	107264.1705
21	107111.6003
22	107029.508
23	106930.1292
24	106877.3213
25	106362.3801
26	106332.2116
27	106323.4653
28	106310.5471
29	106305.266
30	105539.201
31	105527.8522
32	105491.6984
33	104713.2944
34	104664.7289
35	104492.6709
36	104479.5079
37	104347.7014
38	104185.6105
39	104163.8541
40	104147.5552
41	103658.0755
42	103623.969
43	103543.3745
44	103505.4795
45	103356.1536
46	103337.7376
47	103180.7589
48	103158.9632
49	103099.0782
50	102935.9868
51	102867.6267
52	102776.1828
53	102610.6584
54	102027.1703
55	101439.1724
56	101411.1751
57	101116.2567
58	100945.9472
59	100487.2482
60	100331.5016
61	100323.0323
62	100320.3098
63	100271.805
64	99885.11423
65	99162.34526
66	99119.29799
67	99113.88405
68	99110.12835
69	98963.67226
70	98809.92357
71	98795.37853
72	98767.15281
73	98742.4937
74	98596.19648
75	98591.69599
76	98567.86551
77	98418.7584
78	98377.1911
79	98349.43859
80	98343.3559
81	98313.02141
82	98308.02319
83	98281.34136
84	98276.68654
85	98269.60717
86	97832.6994
87	97811.21767
88	97703.66271
89	96980.90736
90	96966.22837
91	96887.7203
92	96448.98252
93	96421.90817
94	96389.50468
95	96255.42008
96	96104.15814
97	96090.00979
98	96088.71928
99	96061.78413
100	95909.36553
101	95770.51852
102	95745.9894
103	95718.40542
104	95708.83273
105	95166.49282
106	95160.86363
107	95081.40771
108	95060.04674
109	94387.4303
110	94256.02663
111	94131.9088
112	94011.37366
113	93875.10399
114	93847.86696
115	93796.73143
116	93773.37253
117	93725.66478
118	93576.13995
119	93537.92859
120	92865.96321
121	92862.47411
122	92193.99454
123	92143.03814
124	92123.37129
125	91473.17309
126	91415.9911
127	91128.55401
128	91111.42623
129	91084.72545
130	90947.94162
131	90604.70561
132	90369.78619
133	89981.68415
134	89823.23008
135	89200.58612
136	89068.17704
137	89029.00472
138	88878.31631
139	88735.21502
140	88728.49958
141	88111.26164
142	87995.26389
143	87965.00484
144	87848.18073
145	87701.27748
146	87675.15828
147	87552.35949
148	87465.61079
149	87439.6342
150	87292.49257
151	86680.29596
152	86403.42542
153	86341.85834
154	86322.36063
155	86191.65075
156	86190.88531
157	85916.46623
158	85779.68546
159	85353.42068
160	85349.21746
161	85075.93254
162	85002.43466
163	84869.93096
164	84755.86445
165	84750.62963
166	84703.46306
167	84684.66909
168	84661.74033
169	84516.03856
170	84495.47332
171	83901.88968
172	83790.88522
173	83678.74317
174	83648.63083
175	83555.77619
176	83098.09628
177	83014.86232
178	82449.04
179	82306.42036
180	82197.12035
181	82086.16493
182	81525.3267
183	80963.67642
184	80885.59284
185	80474.30609
186	80469.98983
187	79932.49947
188	79403.57067
189	78876.06613
190	78768.97339
191	78250.99677
192	78164.39362
193	77648.20306
194	77146.30013
195	77072.73554
196	76955.23728
197	76880.93025
198	76387.7541
199	75899.2124
200	75510.75541
201	75033.94827
202	74569.35777
203	74107.37464
204	73655.60043
205	73212.21416
206	72773.79361
207	72616.07736
208	72185.77142
209	71761.4952
210	71650.31795
211	71232.1533
212	70819.80052
213	70414.05899
214	70255.40336
215	69855.86175
216	69700.53737
217	69307.03931
218	68918.77672
219	68537.1632
220	68162.36239
221	67792.43921
222	67429.24113
223	67070.7195
224	66718.89006
225	66373.13138
226	66212.33921
227	65871.40729
228	65536.07917
229	65206.06868
230	65045.57113
231	64720.60348
232	64563.23219
233	64243.02144
234	64088.16054
235	63769.83568
236	63457.45962
237	63304.63781
238	63184.61411
239	63035.95883
240	62726.99945
241	62581.60598
242	62278.08567
243	61979.0752
244	61834.8894
245	61693.23307
246	61554.78173
247	61418.56775
248	61285.49608
249	60987.1426
250	60855.27204
251	60563.1936
252	60274.33781
253	60144.49438
254	60017.09403
255	59731.55532
256	59451.59003
257	59324.79459
258	59201.05392
259	58924.02323
260	58801.92907
261	58681.79992
262	58407.63637
263	58289.93996
264	58174.53031
265	57904.35786
266	57638.34197
267	57524.10802
268	57412.11076
269	57149.98303
270	56892.27743
271	56781.11275
272	56527.18943
273	56277.69498
274	56167.94743
275	56031.90694
276	55923.959
277	55677.06817
278	55570.7523
279	55327.94817
280	55223.39535
281	55120.42414
282	55068.8217
283	54968.12143
284	54728.00228
285	54628.22062
286	54391.68674
287	54293.25627
288	54194.33132
289	54097.84942
290	54020.92193
291	53786.94729
292	53556.27708
293	53460.65016
294	53234.11832
295	53140.47766
296	52917.0735
297	52824.63756
298	52605.12016
299	52513.57123
300	52293.48768
301	52203.45594
302	52060.89368
303	51920.38749
304	51897.19945
305	51807.21257
306	51718.31589
307	51503.60293
308	51415.50551
309	51324.51188
310	51237.42839
311	51097.90918
312	50884.70815
313	50802.13764
314	50715.82524
315	50631.30325
316	50493.17089
317	50410.06799
318	50198.37118
319	50116.50639
320	50034.64644
321	49898.10933
322	49689.42497
323	49554.98225
324	49475.03708
325	49393.78263
326	49187.483
327	49107.5166
328	48973.96376
329	48953.87284
330	48874.53725
331	48791.84721
332	48660.07364
333	48584.93787
334	48506.78721
335	48434.98409
336	48359.58577
337	48283.28215
338	48208.07693
339	48134.17311
340	48003.60145
341	47935.07496
342	47869.71957
343	47805.6957
344	47596.352
345	47523.71235
346	47394.32415
347	47267.12894
348	47142.58161
349	47070.23248
350	46862.79621
351	46792.10349
352	46722.23371
353	46517.04912
354	46448.75645
355	46424.44396
356	46300.3085
357	46232.64863
358	46110.61895
359	46086.6621
360	45883.07794
361	45816.79785
362	45777.57749
363	45716.38545
364	45651.20095
365	45530.75694
366	45466.76867
367	45347.75519
368	45284.86788
369	45223.23962
370	45162.18894
371	45096.31484
372	45038.4109
373	44920.76003
374	44899.25623
375	44843.76558
376	44783.57055
377	44667.88477
378	44554.92557
379	44500.12115
380	44480.09602
381	44428.49158
382	44369.00381
383	44310.71414
384	44103.33728
385	44046.45967
386	44027.30121
387	43912.62773
388	43707.85192
389	43651.6699
390	43538.56102
391	43336.45274
392	43280.44151
393	43081.87897
394	42886.25373
395	42831.37644
396	42638.82917
397	42586.5852
398	42536.10594
399	42424.77157
400	42313.29529
401	42206.08809
402	42151.05779
403	42109.52126
404	41918.12244
405	41863.75059
406	41675.34986
407	41489.74925
408	41436.39582
409	41387.65686
410	41278.25061
411	41171.12063
412	41118.04615
413	41070.63534
414	40886.28248
415	40780.49407
416	40598.80697
417	40581.01931
418	40402.61785
419	40349.65038
420	40174.06522
421	40122.34602
422	40071.78478
423	39965.99408
424	39792.37512
425	39688.16412
426	39638.05906
427	39466.83439
428	39419.62547
429	39369.72849
430	39352.31144
431	39183.11963
432	39079.69514
433	39030.42721
434	38925.94826
435	38758.54682
436	38710.03844
437	38609.82089
438	38592.55478
439	38427.60995
440	38328.84119
441	38280.68868
442	38234.69716
443	38187.44378
444	38170.88787
445	38074.37728
446	37979.68155
447	37815.58679
448	37654.31444
449	37607.35506
450	37512.67865
451	37467.82074
452	37421.62075
453	37328.42896
454	37168.48779
455	37122.88922
456	36965.03132
457	36920.15276
458	36765.25572
459	36720.98694
460	36705.01239
461	36660.77023
462	36567.75103
463	36552.05587
464	36510.6746
465	36356.86806
466	36265.09704
467	36175.0974
468	36086.83629
469	36000.28154
470	35956.07258
471	35871.08058
472	35787.6041
473	35634.35957
474	35619.05289
475	35575.31041
476	35534.66481
477	35452.19998
478	35412.85001
479	35369.74493
480	35288.68691
481	35263.3491
482	35183.80586
483	35105.80758
484	34952.58495
485	34909.80549
486	34868.35533
487	34791.32282
488	34753.21403
489	34677.59721
490	34619.4501
491	34578.0675
492	34504.94801
493	34433.25377
494	34419.39565
495	34349.06875
496	34185.78342
497	34144.73468
498	34104.51799
499	34035.1499
500	33995.66294
501	33927.5646
502	33775.67296
503	33708.58322
504	33669.71122
505	33603.85787
506	33539.4306
507	33510.20735
508	33496.97552
509	33346.35982
510	33306.88165
511	33187.28194
512	33123.25622
513	33060.48441
514	32998.94327
515	32938.60996
516	32790.76022
517	32777.46324
518	32618.81763
519	32559.31955
520	32500.98419
521	32457.84712
522	32418.54109
523	32361.05227
524	32329.17356
525	32290.54254
526	32234.08759
527	32089.42167
528	32050.9269
529	31990.60166
530	31847.81704
531	31793.08892
532	31754.64317
533	31716.50901
534	31575.57596
535	31538.44773
536	31484.20206
537	31339.09874
538	31314.73023
539	31261.29425
540	31124.34677
541	31086.16137
542	31048.79192
543	30996.18393
544	30944.48962
545	30908.2149
546	30772.71952
547	30721.50746
548	30684.53249
549	30545.39946
550	30508.98263
551	30473.32637
552	30422.62464
553	30372.93132
554	30324.59993
555	30289.11637
556	30156.29803
557	30121.01823
558	30081.69737
559	30033.87965
560	29986.74563
561	29940.56603
562	29905.65675
563	29773.98025
564	29644.58816
565	29598.84529
566	29471.55121
567	29440.25476
568	29310.06185
569	29275.21636
570	29241.08273
571	29207.53524
572	29109.0661
573	29075.28346
574	29029.63859
575	28985.11787
576	28857.77825
577	28737.37356
578	28704.55164
579	28667.94982
580	28623.36157
581	28589.74812
582	28546.46433
583	28518.16929
584	28475.2366
585	28449.28462
586	28416.84269
587	28382.95566
588	28351.13145
589	28308.86881
590	28188.76482
591	28070.63349
592	28029.08095
593	27988.33423
594	27871.0763
595	27831.17596
596	27799.38819
597	27760.03183
598	27729.77695
599	27691.19123
600	27659.65726
601	27542.68583
602	27509.75675
603	27479.09179
604	27363.93864
605	27325.65397
606	27295.94435
607	27266.18085
608	27234.97144
609	27204.46152
610	27092.07129
611	27053.301
612	27023.24291
613	26986.10734
614	26956.4541
615	26926.78109
616	26889.52343
617	26858.97444
618	26746.25703
619	26635.28759
620	26527.62055
621	26490.56867
622	26454.28353
623	26343.8031
624	26314.82582
625	26284.78394
626	26175.78703
627	26147.22095
628	26125.13159
629	26089.18567
630	26061.08463
631	26034.24525
632	25999.67288
633	25972.79993
634	25945.22417
635	25918.21444
636	25864.74257
637	25760.67509
638	25733.80267
639	25631.47305
640	25526.96653
641	25428.17923
642	25331.02226
643	25306.82941
644	25270.09944
645	25242.09862
646	25215.34122
647	25189.80537
648	25159.31597
649	25063.26937
650	25034.15433
651	25024.58714
652	24926.34279
653	24900.98254
654	24876.14371
655	24850.46218
656	24755.85833
657	24660.76358
658	24636.13317
659	24601.08509
660	24571.99545
661	24472.77569
662	24424.58715
663	24396.79351
664	24360.45679
665	24336.03532
666	24295.27611
667	24271.28228
668	24247.83257
669	24158.23385
670	24123.53654
671	24096.51136
672	24063.07994
673	24023.29062
674	23997.62839
675	23979.1928
676	23890.58433
677	23868.97831
678	23779.75432
679	23756.85925
680	23663.09395
681	23625.26809
682	23602.72532
683	23578.08069
684	23545.5351
685	23522.14835
686	23515.83514
687	23493.61946
688	23463.36805
689	23373.5484
690	23349.838
691	23320.11963
692	23300.56169
693	23279.3111
694	23195.59606
695	23164.85555
696	23134.77575
697	23052.18514
698	23031.35584
699	23002.30671
700	22921.16429
701	22889.84498
702	22858.88115
703	22841.68385
704	22822.70104
705	22742.46069
706	22701.55824
707	22672.54848
708	22655.45342
709	22574.32565
710	22556.34993
711	22477.35961
712	22456.83399
713	22378.69108
714	22299.00706
715	22270.60577
716	22248.34958
717	22174.49352
718	22144.58174
719	22115.36462
720	22039.89715
721	22023.995
722	22004.19767
723	21932.53712
724	21912.87942
725	21874.02436
726	21841.1889
727	21814.03432
728	21787.8749
729	21752.05537
730	21676.67531
731	21646.14374
732	21625.24964
733	21598.89708
734	21576.85425
735	21555.57144
736	21528.71119
737	21514.95094
738	21478.16333
739	21457.97813
740	21431.66733
741	21406.30338
742	21381.50466
743	21307.03921
744	21290.87282
745	21258.58155
746	21232.99833
747	21208.62246
748	21189.70187
749	21172.58103
750	21157.00325
751	21140.22518
752	21114.97485
753	21084.2736
754	21070.38251
755	21000.56768
756	20936.32269
757	20923.8991
758	20900.5139
759	20884.24596
760	20811.66477
761	20792.53796
762	20769.93474
763	20699.60336
764	20683.82941
765	20660.72929
766	20635.30818
767	20575.33944
768	20559.29508
769	20489.9326
770	20466.89662
771	20444.80617
772	20419.7097
773	20388.9165
774	20377.30461
775	20309.26962
776	20280.83773
777	20258.72346
778	20243.25261
779	20224.57573
780	20210.85632
781	20145.67887
782	20130.41191
783	20115.46184
784	20101.30301
785	20072.58032
786	20006.87491
787	19991.15133
788	19976.37501
789	19939.64908
790	19923.66794
791	19903.14917
792	19888.65909
793	19824.17316
794	19804.49898
795	19784.43523
796	19770.72167
797	19750.47675
798	19735.71501
799	19715.88975
800	19689.56238
801	19668.49382
802	19654.68676
803	19645.55275
804	19635.06293
805	19583.50147
806	19561.38303
807	19548.30669
808	19529.9274
809	19508.75141
810	19491.11543
811	19483.27421
812	19466.01513
813	19451.54117
814	19442.88378
815	19418.81938
816	19399.97046
817	19360.97024
818	19323.8957
819	19307.94936
820	19288.3008
821	19274.98615
822	19211.24704
823	19150.52567
824	19137.13065
825	19124.29279
826	19111.12004
827	19092.63167
828	19032.21592
829	18993.5629
830	18975.36273
831	18957.74283
832	18938.7632
833	18930.45802
834	18909.32317
835	18891.19656
836	18873.45268
837	18856.10515
838	18847.38151
839	18812.70242
840	18797.50409
841	18789.64347
842	18773.9855
843	18713.1759
844	18696.06845
845	18679.34206
846	18662.98752
847	18626.66631
848	18611.19568
849	18560.96733
850	18556.25549
851	18542.72792
852	18511.7358
853	18494.32453
854	18485.8129
855	18470.75092
856	18413.16912
857	18397.39236
858	18382.99972
859	18325.54812
860	18316.69848
861	18300.71687
862	18290.50274
863	18276.34477
864	18259.05094
865	18245.75734
866	18226.58683
867	18219.56889
868	18162.2966
869	18145.76018
870	18118.884
871	18105.4555
872	18050.43431
873	18037.25013
874	18024.32899
875	18000.17719
876	17993.29241
877	17977.65246
878	17961.79165
879	17950.87255
880	17896.54879
881	17854.22255
882	17841.86969
883	17829.3408
884	17775.32266
885	17763.03492
886	17755.91752
887	17743.85384
888	17712.84921
889	17700.79331
890	17689.66082
891	17666.01647
892	17614.5281
893	17592.87494
894	17562.91463
895	17550.87754
896	17537.53904
897	17526.03098
898	17514.34342
899	17501.70384
900	17486.88441
901	17475.77439
902	17467.94381
903	17417.18301
904	17409.52864
905	17393.84889
906	17364.33363
907	17353.08036
908	17346.95433
909	17331.80842
910	17307.29474
911	17294.88592
912	17287.68284
913	17277.1765
914	17257.08636
915	17228.1346
916	17217.73645
917	17168.38051
918	17156.89588
919	17144.66845
920	17136.49724
921	17124.30556
922	17069.72785
923	17059.49035
924	17036.57045
925	17026.65759
926	17016.72094
927	17002.90921
928	16988.5442
929	16938.48933
930	16924.09126
931	16916.59906
932	16867.8798
933	16858.47353
934	16846.61947
935	16813.67894
936	16802.67403
937	16791.08974
938	16777.14067
939	16761.18848
940	16756.78372
941	16716.02864
942	16705.42596
943	16701.56142
944	16691.18151
945	16681.02556
946	16629.66174
947	16620.42404
948	16609.81038
949	16599.49223
950	16574.44004
951	16563.58896
952	16513.32997
953	16504.13388
954	16482.44785
955	16456.79197
956	16447.07405
957	16437.85023
958	16418.19936
959	16409.40799
960	16401.74241
961	16381.58338
962	16351.56049
963	16341.63461
964	16331.938
965	16323.13916
966	16312.02601
967	16300.72285
968	16284.12995
969	16275.40361
970	16256.62892
971	16238.67022
972	16222.62542
973	16199.45791
974	16189.18974
975	16178.78676
976	16155.89272
977	16146.55412
978	16102.37842
979	16080.79686
980	16065.13965
981	16021.70434
982	16006.0375
983	15997.16599
984	15988.42058
985	15945.71737
986	15936.59304
987	15927.63133
988	15885.79158
989	15875.45351
990	15866.94488
991	15857.02932
992	15851.22054
993	15810.06412
994	15801.32647
995	15790.62693
996	15782.26112
997	15775.2303
998	15760.89025
999	15752.21223
