iter	Passed	Remaining
0	8	8434
1	10	5062
2	22	7487
3	24	6146
4	27	5449
5	30	5126
6	32	4590
7	33	4132
8	35	3855
9	36	3632
10	37	3415
11	39	3232
12	40	3053
13	41	2943
14	44	2890
15	45	2774
16	46	2696
17	48	2633
18	49	2569
19	51	2526
20	53	2481
21	54	2437
22	56	2395
23	58	2375
24	63	2470
25	67	2512
26	70	2529
27	77	2678
28	81	2721
29	82	2658
30	83	2615
31	84	2567
32	86	2530
33	90	2562
34	92	2541
35	94	2525
36	96	2505
37	97	2480
38	99	2457
39	101	2429
40	103	2426
41	105	2409
42	107	2390
43	109	2370
44	110	2349
45	112	2333
46	114	2317
47	116	2307
48	118	2296
49	122	2324
50	127	2363
51	129	2360
52	134	2397
53	139	2451
54	141	2436
55	143	2416
56	144	2398
57	146	2379
58	148	2360
59	151	2376
60	153	2362
61	155	2349
62	157	2335
63	158	2321
64	160	2312
65	162	2302
66	164	2289
67	166	2277
68	167	2259
69	169	2248
70	171	2244
71	172	2229
72	174	2214
73	176	2204
74	177	2189
75	179	2184
76	186	2238
77	189	2245
78	192	2245
79	200	2302
80	202	2291
81	203	2278
82	205	2268
83	207	2258
84	209	2251
85	212	2256
86	213	2245
87	216	2239
88	218	2232
89	219	2219
90	220	2206
91	222	2194
92	224	2188
93	227	2192
94	228	2181
95	230	2169
96	231	2159
97	233	2151
98	234	2136
99	236	2127
100	238	2119
101	240	2114
102	246	2145
103	249	2147
104	251	2145
105	259	2185
106	264	2203
107	265	2193
108	266	2181
109	268	2171
110	270	2163
111	273	2172
112	275	2163
113	276	2152
114	278	2144
115	280	2135
116	282	2131
117	283	2122
118	285	2114
119	287	2105
120	288	2098
121	290	2092
122	292	2083
123	293	2074
124	295	2066
125	297	2060
126	298	2051
127	300	2044
128	303	2051
129	308	2066
130	311	2064
131	314	2067
132	318	2077
133	322	2084
134	323	2075
135	326	2072
136	327	2065
137	329	2056
138	330	2048
139	332	2045
140	334	2039
141	336	2032
142	337	2025
143	339	2017
144	340	2010
145	342	2006
146	345	2003
147	346	1995
148	348	1988
149	349	1981
150	351	1973
151	352	1966
152	354	1960
153	355	1953
154	357	1947
155	359	1942
156	362	1947
157	367	1958
158	372	1970
159	376	1974
160	381	1987
161	382	1980
162	384	1973
163	386	1967
164	387	1961
165	389	1955
166	391	1952
167	393	1951
168	395	1944
169	397	1938
170	398	1932
171	400	1929
172	402	1922
173	403	1915
174	405	1910
175	406	1904
176	408	1898
177	409	1891
178	411	1886
179	412	1880
180	414	1875
181	416	1871
182	417	1865
183	424	1881
184	427	1882
185	430	1884
186	435	1893
187	440	1901
188	441	1896
189	444	1895
190	446	1889
191	447	1883
192	449	1877
193	450	1871
194	451	1865
195	453	1860
196	456	1859
197	457	1854
198	459	1848
199	461	1844
200	462	1839
201	463	1832
202	465	1827
203	466	1821
204	468	1816
205	470	1813
206	472	1809
207	473	1803
208	475	1798
209	476	1792
210	478	1787
211	485	1802
212	489	1810
213	493	1811
214	501	1830
215	504	1831
216	505	1825
217	507	1821
218	509	1816
219	510	1810
220	512	1805
221	515	1806
222	517	1804
223	519	1799
224	520	1793
225	522	1788
226	523	1782
227	525	1780
228	530	1784
229	531	1780
230	533	1775
231	535	1771
232	536	1766
233	538	1761
234	542	1764
235	546	1768
236	549	1767
237	554	1774
238	563	1793
239	565	1790
240	567	1786
241	568	1780
242	570	1776
243	575	1781
244	576	1777
245	579	1775
246	581	1771
247	582	1767
248	584	1761
249	585	1756
250	594	1774
251	596	1771
252	599	1769
253	610	1792
254	616	1801
255	626	1821
256	633	1830
257	637	1833
258	638	1827
259	642	1827
260	644	1825
261	646	1821
262	648	1815
263	651	1817
264	655	1817
265	657	1814
266	659	1809
267	670	1830
268	704	1914
269	708	1916
270	711	1913
271	717	1919
272	720	1918
273	722	1915
274	724	1909
275	739	1938
276	753	1966
277	755	1962
278	757	1956
279	758	1950
280	759	1944
281	761	1940
282	766	1940
283	767	1934
284	768	1929
285	770	1924
286	772	1918
287	773	1912
288	775	1907
289	780	1910
290	782	1905
291	783	1899
292	785	1894
293	786	1889
294	793	1895
295	798	1899
296	802	1898
297	806	1899
298	812	1905
299	815	1901
300	817	1897
301	818	1891
302	819	1886
303	821	1880
304	822	1874
305	827	1877
306	829	1872
307	830	1866
308	832	1861
309	833	1855
310	835	1850
311	836	1844
312	838	1840
313	840	1835
314	846	1839
315	850	1839
316	864	1862
317	870	1866
318	872	1862
319	874	1857
320	875	1851
321	876	1846
322	878	1841
323	880	1837
324	882	1832
325	884	1828
326	887	1827
327	889	1822
328	890	1817
329	892	1811
330	894	1806
331	895	1802
332	897	1797
333	899	1793
334	900	1787
335	901	1782
336	903	1777
337	905	1773
338	906	1768
339	909	1765
340	915	1769
341	919	1768
342	924	1770
343	929	1772
344	931	1767
345	932	1762
346	934	1757
347	935	1752
348	936	1747
349	937	1741
350	939	1737
351	941	1732
352	942	1727
353	943	1722
354	947	1721
355	948	1716
356	950	1711
357	951	1707
358	953	1702
359	955	1697
360	956	1692
361	958	1688
362	960	1684
363	961	1680
364	963	1675
365	964	1670
366	966	1666
367	967	1661
368	976	1669
369	979	1667
370	984	1668
371	990	1671
372	991	1667
373	993	1663
374	995	1658
375	997	1655
376	998	1650
377	1000	1646
378	1001	1641
379	1003	1637
380	1007	1637
381	1009	1632
382	1010	1628
383	1012	1623
384	1014	1620
385	1015	1615
386	1017	1611
387	1018	1607
388	1020	1603
389	1022	1598
390	1024	1594
391	1025	1590
392	1027	1586
393	1028	1582
394	1035	1585
395	1037	1582
396	1039	1579
397	1044	1580
398	1048	1578
399	1051	1577
400	1053	1573
401	1054	1568
402	1055	1563
403	1057	1559
404	1058	1555
405	1060	1551
406	1061	1546
407	1063	1542
408	1064	1538
409	1067	1535
410	1069	1532
411	1070	1527
412	1071	1523
413	1073	1519
414	1074	1514
415	1076	1510
416	1077	1506
417	1079	1502
418	1080	1498
419	1081	1494
420	1083	1489
421	1084	1485
422	1086	1481
423	1087	1477
424	1094	1481
425	1097	1479
426	1101	1477
427	1105	1476
428	1109	1476
429	1112	1474
430	1115	1472
431	1116	1468
432	1118	1464
433	1119	1460
434	1120	1455
435	1122	1451
436	1124	1448
437	1125	1444
438	1127	1440
439	1128	1436
440	1130	1432
441	1131	1429
442	1133	1425
443	1135	1421
444	1136	1417
445	1137	1413
446	1140	1410
447	1142	1407
448	1143	1403
449	1145	1399
450	1146	1395
451	1148	1392
452	1155	1395
453	1159	1394
454	1161	1391
455	1166	1391
456	1172	1393
457	1174	1389
458	1175	1385
459	1177	1382
460	1178	1378
461	1180	1374
462	1181	1370
463	1183	1366
464	1184	1363
465	1188	1361
466	1189	1357
467	1191	1354
468	1192	1350
469	1194	1346
470	1196	1343
471	1197	1339
472	1199	1335
473	1201	1333
474	1202	1329
475	1204	1325
476	1205	1321
477	1206	1318
478	1208	1314
479	1209	1310
480	1215	1312
481	1218	1309
482	1222	1308
483	1226	1307
484	1233	1309
485	1234	1306
486	1236	1302
487	1237	1298
488	1239	1294
489	1240	1291
490	1242	1288
491	1244	1284
492	1245	1280
493	1247	1277
494	1250	1275
495	1251	1271
496	1253	1268
497	1254	1264
498	1256	1261
499	1257	1257
500	1259	1254
501	1260	1250
502	1262	1247
503	1264	1243
504	1265	1240
505	1266	1236
506	1268	1233
507	1270	1230
508	1271	1226
509	1278	1228
510	1282	1227
511	1285	1225
512	1291	1225
513	1295	1224
514	1297	1222
515	1299	1218
516	1301	1216
517	1304	1213
518	1311	1215
519	1313	1212
520	1315	1209
521	1317	1206
522	1319	1203
523	1321	1200
524	1322	1196
525	1324	1193
526	1325	1190
527	1327	1186
528	1328	1183
529	1330	1179
530	1334	1178
531	1337	1176
532	1343	1177
533	1346	1175
534	1350	1173
535	1358	1175
536	1361	1173
537	1365	1172
538	1366	1168
539	1367	1165
540	1370	1162
541	1372	1159
542	1374	1156
543	1375	1153
544	1376	1149
545	1378	1146
546	1380	1143
